///////////////////////////////////         30/01/2025
13:11:34.928 > Serial iniciado                 SiPM 2
13:11:36.078 > SPI iniciado
13:11:36.079 > CSs en HIGH
13:11:36.079 > DEBUG (start_tmp100) -> Status: 0
13:11:36.080 > TMP iniciado
13:11:36.080 > 25.0000
13:11:36.190 > MODE0: 100100
13:11:36.240 > MODE0: 11111100
13:11:36.241 > PGA: 0
13:11:36.242 > PGA BYPASS MODE: 10000000
13:11:36.742 > Setup finalizado
13:11:39.745 > Datos obtenidos:
13:11:39.746 > Temperatura: 25.0000
13:11:39.749 > Obtención de curva
13:11:39.749 > Vbd teorico: 24.54
13:11:39.751 > Limites (dec, hex): 26.84, 29.84, 61BF, 41BF, paso: 20
13:11:39.755 > Comandos calculados
13:11:51.766 > First VCurrent: 1.2166624
13:11:51.769 > Tiempo promedio de muestreo [ms]: 30.000
13:11:51.773 > i, Voltage, VCorriente, (Voltage*12)-3.8, (VCorriente-firstCurrent)/2000
13:11:52.265 > 67,2.3555772,1.2179277,25.12,24.4669258,0.0000006326
13:11:52.273 > 68,2.3558834,1.2180831,25.19,24.4705994,0.0000007104
13:11:52.281 > 69,2.3567741,1.2181587,25.19,24.4812881,0.0000007482
13:11:52.288 > 70,2.3571129,1.2180903,25.19,24.4853546,0.0000007139
13:11:52.295 > 71,2.3580542,1.2180188,25.19,24.4966499,0.0000006782
13:11:52.302 > 72,2.3584771,1.2179627,25.19,24.5017254,0.0000006502
13:11:52.309 > 73,2.3590806,1.2179872,25.19,24.5089676,0.0000006624
13:11:52.317 > 74,2.3597496,1.2181635,25.19,24.5169937,0.0000007505
13:11:52.324 > 75,2.3603976,1.2180361,25.19,24.5247719,0.0000006868
13:11:52.331 > 76,2.3609831,1.2180521,25.19,24.5317986,0.0000006949
13:11:52.339 > 77,2.3616478,1.2179538,25.19,24.5397751,0.0000006457
13:11:52.346 > 78,2.3621633,1.2180879,25.19,24.5459587,0.0000007128
13:11:52.353 > 79,2.3629632,1.2180724,25.19,24.5555584,0.0000007050
13:11:52.360 > 80,2.3633778,1.2179687,25.19,24.5605347,0.0000006531
13:11:52.367 > 81,2.3640504,1.2179711,25.19,24.5686047,0.0000006543
13:11:52.374 > 82,2.3645875,1.2180218,25.19,24.5750496,0.0000006797
13:11:52.381 > 83,2.3652298,1.2180277,25.19,24.5827591,0.0000006827
13:11:52.389 > 84,2.3659534,1.2180951,25.19,24.5914413,0.0000007163
13:11:52.396 > 85,2.3665183,1.2181802,25.19,24.5982201,0.0000007589
13:11:52.404 > 86,2.3671415,1.2180521,25.19,24.6056969,0.0000006949
13:11:52.410 > 87,2.3677943,1.2179003,25.19,24.6135323,0.0000006189
13:11:52.418 > 88,2.3683910,1.2181010,25.19,24.6206924,0.0000007193
13:11:52.425 > 89,2.3689773,1.2179866,25.19,24.6277267,0.0000006621
13:11:52.432 > 90,2.3696122,1.2180223,25.19,24.6353466,0.0000006800
13:11:52.440 > 91,2.3701890,1.2180420,25.19,24.6422684,0.0000006898
13:11:52.447 > 92,2.3708889,1.2179122,25.19,24.6506683,0.0000006249
13:11:52.454 > 93,2.3714547,1.2179306,25.19,24.6574566,0.0000006341
13:11:52.461 > 94,2.3719742,1.2179478,25.25,24.6636917,0.0000006427
13:11:52.469 > 95,2.3726556,1.2180355,25.25,24.6718666,0.0000006865
13:11:52.476 > 96,2.3731947,1.2181659,25.25,24.6783363,0.0000007517
13:11:52.483 > 97,2.3741913,1.2181832,25.25,24.6902954,0.0000007604
13:11:52.490 > 98,2.3745666,1.2181492,25.25,24.6947987,0.0000007434
13:11:52.498 > 99,2.3751135,1.2179699,25.25,24.7013618,0.0000006537
13:11:52.505 > 100,2.3758628,1.2180218,25.25,24.7103531,0.0000006797
13:11:52.512 > 101,2.3762887,1.2181551,25.25,24.7154648,0.0000007464
13:11:52.519 > 102,2.3769608,1.2180712,25.25,24.7235291,0.0000007044
13:11:52.527 > 103,2.3776631,1.2179235,25.25,24.7319576,0.0000006306
13:11:52.534 > 104,2.3780444,1.2182004,25.25,24.7365334,0.0000007690
13:11:52.542 > 105,2.3788645,1.2180891,25.25,24.7463753,0.0000007133
13:11:52.549 > 106,2.3794787,1.2180998,25.25,24.7537453,0.0000007187
13:11:52.556 > 107,2.3799653,1.2181112,25.25,24.7595837,0.0000007244
13:11:52.563 > 108,2.3806195,1.2180915,25.25,24.7674343,0.0000007145
13:11:52.571 > 109,2.3812950,1.2180253,25.25,24.7755386,0.0000006815
13:11:52.578 > 110,2.3819191,1.2182589,25.25,24.7830307,0.0000007982
13:11:52.585 > 111,2.3826351,1.2180563,25.25,24.7916214,0.0000006970
13:11:52.593 > 112,2.3831296,1.2181349,25.25,24.7975552,0.0000007362
13:11:52.600 > 113,2.3838975,1.2179759,25.25,24.8067696,0.0000006567
13:11:52.607 > 114,2.3842466,1.2181070,25.25,24.8109581,0.0000007223
13:11:52.615 > 115,2.3850596,1.2180277,25.25,24.8207161,0.0000006827
13:11:52.622 > 116,2.3854897,1.2182803,25.25,24.8258774,0.0000008090
13:11:52.629 > 117,2.3862219,1.2179818,25.25,24.8346626,0.0000006597
13:11:52.637 > 118,2.3866639,1.2182589,25.25,24.8399670,0.0000007982
13:11:52.644 > 119,2.3874507,1.2183149,25.25,24.8494083,0.0000008262
13:11:52.651 > 120,2.3881984,1.2181653,25.31,24.8583805,0.0000007514
13:11:52.659 > 121,2.3888011,1.2183481,25.31,24.8656132,0.0000008429
13:11:52.666 > 122,2.3891838,1.2182273,25.31,24.8702042,0.0000007824
13:11:52.673 > 123,2.3898501,1.2182630,25.31,24.8782017,0.0000008003
13:11:52.680 > 124,2.3905180,1.2185328,25.31,24.8862144,0.0000009352
13:11:52.688 > 125,2.3911126,1.2184542,25.31,24.8933517,0.0000008959
13:11:52.695 > 126,2.3915734,1.2186478,25.31,24.8988811,0.0000009927
13:11:52.703 > 127,2.3923187,1.2187681,25.31,24.9078247,0.0000010529
13:11:52.710 > 128,2.3927567,1.2190267,25.31,24.9130814,0.0000011821
13:11:52.717 > 129,2.3936567,1.2191285,25.31,24.9238808,0.0000012330
13:11:52.725 > 130,2.3940802,1.2195544,25.31,24.9289619,0.0000014460
13:11:52.732 > 131,2.3947890,1.2195902,25.31,24.9374687,0.0000014639
13:11:52.739 > 132,2.3954222,1.2199947,25.31,24.9450676,0.0000016661
13:11:52.748 > 133,2.3960805,1.2203556,25.31,24.9529659,0.0000018466
13:11:52.754 > 134,2.3966489,1.2207345,25.31,24.9597866,0.0000020360
13:11:52.761 > 135,2.3973155,1.2212576,25.31,24.9677860,0.0000022976
13:11:52.770 > 136,2.3978212,1.2217489,25.31,24.9738533,0.0000025433
13:11:52.786 > 137,2.3986242,1.2224829,25.31,24.9834892,0.0000029103
13:11:52.786 > 138,2.3991108,1.2232132,25.31,24.9893295,0.0000032754
13:11:52.807 > 139,2.3996451,1.2240233,25.31,24.9957420,0.0000036805
13:11:52.807 > 140,2.4002366,1.2246101,25.31,25.0028393,0.0000039738
13:11:52.807 > 141,2.4008932,1.2257448,25.31,25.0107185,0.0000045412
13:11:52.812 > 142,2.4016700,1.2270244,25.31,25.0200397,0.0000051810
13:11:52.829 > 143,2.4021935,1.2279674,25.31,25.0263226,0.0000056525
13:11:52.829 > 144,2.4027302,1.2288799,25.31,25.0327637,0.0000061088
13:11:52.834 > 145,2.4035134,1.2302583,25.31,25.0421612,0.0000067980
13:11:52.841 > 146,2.4039733,1.2315522,25.37,25.0476791,0.0000074449
13:11:52.848 > 147,2.4046633,1.2328734,25.37,25.0559608,0.0000081055
13:11:52.857 > 148,2.4051762,1.2343854,25.37,25.0621140,0.0000088615
13:11:52.864 > 149,2.4058778,1.2360526,25.37,25.0705330,0.0000096951
13:11:52.870 > 150,2.4064653,1.2376080,25.37,25.0775826,0.0000104728
13:11:52.878 > 151,2.4070983,1.2393950,25.37,25.0851795,0.0000113663
13:11:52.885 > 152,2.4075868,1.2411625,25.37,25.0910408,0.0000122501
13:11:52.893 > 153,2.4082434,1.2426136,25.37,25.0989220,0.0000129756
13:11:52.900 > 154,2.4089873,1.2445734,25.37,25.1078484,0.0000139555
13:11:52.908 > 155,2.4096260,1.2465481,25.37,25.1155121,0.0000149428
13:11:52.915 > 156,2.4100554,1.2482351,25.37,25.1206657,0.0000157864
13:11:52.922 > 157,2.4107304,1.2504731,25.37,25.1287643,0.0000169054
13:11:52.929 > 158,2.4113481,1.2526736,25.37,25.1361763,0.0000180056
13:11:52.936 > 159,2.4119627,1.2543337,25.37,25.1435539,0.0000188357
13:11:52.944 > 160,2.4125299,1.2568053,25.37,25.1503593,0.0000200714
13:11:52.951 > 161,2.4132535,1.2592053,25.37,25.1590416,0.0000212715
13:11:52.958 > 162,2.4138088,1.2612419,25.37,25.1657059,0.0000222898
13:11:52.966 > 163,2.4144719,1.2635920,25.37,25.1736633,0.0000234648
13:11:52.973 > 164,2.4149692,1.2660003,25.37,25.1796295,0.0000246689
13:11:52.981 > 165,2.4157066,1.2685874,25.37,25.1884796,0.0000259625
13:11:52.988 > 166,2.4163001,1.2712853,25.37,25.1956017,0.0000273114
13:11:52.995 > 167,2.4170160,1.2732999,25.37,25.2041924,0.0000283188
13:11:53.003 > 168,2.4175344,1.2762522,25.37,25.2104122,0.0000297949
13:11:53.010 > 169,2.4181640,1.2788142,25.37,25.2179672,0.0000310759
13:11:53.017 > 170,2.4188383,1.2812363,25.37,25.2260582,0.0000322869
13:11:53.024 > 171,2.4194787,1.2843177,25.37,25.2337448,0.0000338277
13:11:53.031 > 172,2.4199927,1.2870507,25.44,25.2399132,0.0000351942
13:11:53.039 > 173,2.4206610,1.2894442,25.44,25.2479317,0.0000363909
13:11:53.046 > 174,2.4212091,1.2920527,25.44,25.2545082,0.0000376952
13:11:53.054 > 175,2.4219871,1.2954500,25.44,25.2638447,0.0000393938
13:11:53.061 > 176,2.4225054,1.2982926,25.44,25.2700645,0.0000408151
13:11:53.068 > 177,2.4232206,1.3012776,25.44,25.2786476,0.0000423076
13:11:53.076 > 178,2.4237561,1.3043519,25.44,25.2850735,0.0000438448
13:11:53.083 > 179,2.4245129,1.3073947,25.44,25.2941544,0.0000453662
13:11:53.090 > 180,2.4249167,1.3102826,25.44,25.2990009,0.0000468101
13:11:53.097 > 181,2.4256356,1.3131765,25.44,25.3076279,0.0000482571
13:11:53.105 > 182,2.4262295,1.3168894,25.44,25.3147537,0.0000501135
13:11:53.112 > 183,2.4269514,1.3200704,25.44,25.3234169,0.0000517040
13:11:53.119 > 184,2.4274395,1.3233241,25.44,25.3292725,0.0000533308
13:11:53.127 > 185,2.4283352,1.3264216,25.44,25.3400223,0.0000548796
13:11:53.133 > 186,2.4286606,1.3295609,25.44,25.3439285,0.0000564492
13:11:53.141 > 187,2.4294302,1.3326770,25.44,25.3531639,0.0000580073
13:11:53.149 > 188,2.4300389,1.3363941,25.44,25.3604671,0.0000598658
13:11:53.157 > 189,2.4306340,1.3393731,25.44,25.3676083,0.0000613553
